Timestamp;Frame;ID;DLC;D0;D1;D2;D3;D4;D5;D6;D7
18175;EFF;18000500;8;24;82;0;1A;0;0;0;2D
18285;EFF;18000600;8;24;82;0;1A;0;0;0C;E5
18287;EFF;18000700;8;24;82;0;1A;0;0;0;0
18287;EFF;18000800;5;1E;41;C8;CC;CD;;;
18374;EFF;18000900;5;1E;42;92;F8;40;;;
18975;EFF;18000000;8;24;82;0;1A;0;0;33;8A
18975;EFF;18000100;8;24;82;0;1A;0;0;32;E7
18975;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
19173;EFF;18000300;8;24;82;0;1A;0;0;0C;E5
19173;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
19174;EFF;18000500;8;24;82;0;1A;0;0;0;2D
19265;EFF;18000600;8;24;82;0;1A;0;0;0C;E4
19265;EFF;18000700;8;24;82;0;3A;0;0;0;1A
19265;EFF;18000800;5;1E;41;C8;CC;CD;;;
19372;EFF;18000900;5;1E;42;92;F8;3F;;;
19972;EFF;18000000;8;24;82;0;1A;0;0;33;8A
19972;EFF;18000100;8;24;82;0;1A;0;0;32;F9
19973;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
20171;EFF;18000300;8;24;82;0;1A;0;0;0C;E4
20173;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
20173;EFF;18000500;8;24;82;0;1A;0;0;0;2D
20241;EFF;18000600;8;24;82;0;1A;0;0;0C;E4
20242;EFF;18000700;8;24;82;0;3A;0;0;0;22
20242;EFF;18000800;5;1E;41;C8;CC;CD;;;
20372;EFF;18000900;5;1E;42;92;F8;3F;;;
20972;EFF;18000000;8;24;82;0;1A;0;0;33;8A
20972;EFF;18000100;8;24;82;0;1A;0;0;32;E4
20973;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
21172;EFF;18000300;8;24;82;0;1A;0;0;0C;E5
21172;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
21172;EFF;18000500;8;24;82;0;1A;0;0;0;2D
21218;EFF;18000600;8;24;82;0;1A;0;0;0C;E4
21220;EFF;18000700;8;24;82;0;3A;0;0;0;1A
21220;EFF;18000800;5;1E;41;C8;CC;CD;;;
21370;EFF;18000900;5;1E;42;92;F8;3E;;;
21525;EFF;1800000A;5;1E;0;0;0;0;;;
21527;EFF;1800010A;5;1E;0;0;0;0;;;
21527;EFF;1800020A;5;1E;0;0;0;0;;;
21527;EFF;1800030A;5;1E;0;0;0;0;;;
21527;EFF;1800040A;5;1E;0;0;0;0;;;
21528;EFF;1800050A;5;1E;0;0;0;0;;;
21528;EFF;1800060A;1;3C;;;;;;;
21528;EFF;1800070A;5;1E;0;0;0;0;;;
21529;EFF;1800080A;5;1E;0;0;0;0;;;
21529;EFF;1800090A;5;1E;0;0;0;0;;;
21530;EFF;18000A0A;5;1E;0;0;0;0;;;
21530;EFF;1800640A;5;1E;3D;4C;CC;CD;;;
21532;EFF;1800650A;5;1E;42;5C;0;0;;;
21532;EFF;1800660A;5;2;0;0;0;3C;;;
21533;EFF;1800670A;5;1E;40;A0;0;0;;;
21533;EFF;1800680A;5;1E;3F;80;0;0;;;
21533;EFF;1800690A;5;2;0;0;0D;6B;;;
21970;EFF;18000000;8;24;82;0;1A;0;0;33;8A
21971;EFF;18000100;8;24;82;0;1A;0;0;32;F8
21971;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
22169;EFF;18000300;8;24;82;0;1A;0;0;0C;E5
22169;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
22170;EFF;18000500;8;24;82;0;1A;0;0;0;2D
22370;EFF;18000600;8;24;82;0;1A;0;0;0C;E5
22370;EFF;18000700;8;24;82;0;3A;0;0;0;1A
22371;EFF;18000800;5;1E;41;C8;CC;CD;;;
22499;EFF;1800000A;5;1E;41;52;EB;E6;;;
22501;EFF;1800010A;5;1E;41;49;AE;EF;;;
22501;EFF;1800020A;5;1E;BB;6A;7E;8B;;;
22501;EFF;1800030A;5;1E;3B;D9;CA;0;;;
22502;EFF;1800040A;5;1E;41;C7;17;67;;;
22502;EFF;1800050A;5;1E;41;C7;17;67;;;
22502;EFF;1800060A;1;3D;;;;;;;
22502;EFF;1800070A;5;1E;B7;0F;77;0C;;;
22502;EFF;1800080A;5;1E;37;CC;29;68;;;
22503;EFF;1800090A;5;1E;B7;0F;77;0C;;;
22503;EFF;18000A0A;5;1E;37;CC;29;68;;;
22503;EFF;1800640A;5;1E;3D;4C;CC;CD;;;
22505;EFF;1800650A;5;1E;42;5C;0;0;;;
22505;EFF;1800660A;5;2;0;0;0;3C;;;
22506;EFF;1800670A;5;1E;40;A0;0;0;;;
22506;EFF;1800680A;5;1E;3F;80;0;0;;;
22506;EFF;1800690A;5;2;0;0;0D;6B;;;
22513;EFF;18000900;5;1E;42;92;F8;3E;;;
22968;EFF;18000000;8;24;82;0;1A;0;0;33;8A
22968;EFF;18000100;8;24;82;0;1A;0;0;32;E3
22968;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
23169;EFF;18000300;8;24;82;0;1A;0;0;0C;E5
23169;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
23170;EFF;18000500;8;24;82;0;1A;0;0;0;2D
23368;EFF;18000600;8;24;82;0;1A;0;0;0C;E4
23368;EFF;18000700;8;24;82;0;3A;0;0;0;22
23369;EFF;18000800;5;1E;41;C8;CC;CD;;;
23506;EFF;1800000A;5;1E;41;52;E8;F5;;;
23506;EFF;1800010A;5;1E;41;49;B8;E6;;;
23508;EFF;1800020A;5;1E;3A;32;FF;B3;;;
23508;EFF;1800030A;5;1E;3A;C1;90;0;;;
23508;EFF;1800040A;5;1E;41;C6;C3;1E;;;
23508;EFF;1800050A;5;1E;41;C6;C3;1E;;;
23508;EFF;1800060A;1;3D;;;;;;;
23509;EFF;1800070A;5;1E;B7;79;D6;8C;;;
23511;EFF;1800080A;5;1E;37;F9;85;A4;;;
23511;EFF;1800090A;5;1E;B7;79;D6;8C;;;
23513;EFF;18000A0A;5;1E;37;F9;85;A4;;;
23513;EFF;1800640A;5;1E;3D;4C;CC;CD;;;
23513;EFF;1800650A;5;1E;42;5C;0;0;;;
23513;EFF;1800660A;5;2;0;0;0;3C;;;
23513;EFF;1800670A;5;1E;40;A0;0;0;;;
23513;EFF;1800680A;5;1E;3F;80;0;0;;;
23513;EFF;1800690A;5;2;0;0;0D;6B;;;
23520;EFF;18000900;5;1E;42;92;F8;3D;;;
23966;EFF;18000000;8;24;82;0;1A;0;0;33;8A
23967;EFF;18000100;8;24;82;0;1A;0;0;32;FA
23967;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
24166;EFF;18000300;8;24;82;0;1A;0;0;0C;E5
24167;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
24167;EFF;18000500;8;24;82;0;1A;0;0;0;2D
24366;EFF;18000600;8;24;82;0;1A;0;0;0C;E4
24366;EFF;18000700;8;24;82;0;3A;0;0;0;1A
24367;EFF;18000800;5;1E;41;C8;CC;CD;;;
24395;EFF;18000900;5;1E;42;92;F8;3C;;;
24447;EFF;1800000A;5;1E;41;52;EF;B8;;;
24447;EFF;1800010A;5;1E;41;49;CA;A1;;;
24447;EFF;1800020A;5;1E;3B;33;8C;90;;;
24447;EFF;1800030A;5;1E;BB;11;38;0;;;
24447;EFF;1800040A;5;1E;41;C6;C3;1E;;;
24449;EFF;1800050A;5;1E;41;C6;C3;1E;;;
24449;EFF;1800060A;1;3D;;;;;;;
24449;EFF;1800070A;5;1E;B6;A3;5;FE;;;
24450;EFF;1800080A;5;1E;37;B5;73;7B;;;
24450;EFF;1800090A;5;1E;B6;A3;5;FE;;;
24450;EFF;18000A0A;5;1E;37;B5;73;7B;;;
24450;EFF;1800640A;5;1E;3D;4C;CC;CD;;;
24451;EFF;1800650A;5;1E;42;5C;0;0;;;
24451;EFF;1800660A;5;2;0;0;0;3C;;;
24452;EFF;1800670A;5;1E;40;A0;0;0;;;
24452;EFF;1800680A;5;1E;3F;80;0;0;;;
24453;EFF;1800690A;5;2;0;0;0D;6B;;;
24966;EFF;18000000;8;24;82;0;1A;0;0;33;8A
24966;EFF;18000100;8;24;82;0;1A;0;0;32;DB
24967;EFF;18000200;8;24;82;0;1A;0;0;0C;DF
25164;EFF;18000300;8;24;82;0;1A;0;0;0C;E5
25165;EFF;18000400;8;24;82;0;1A;0;0;0C;E1
25165;EFF;18000500;8;24;82;0;1A;0;0;0;2D
25364;EFF;18000600;8;24;82;0;1A;0;0;0C;E4
25365;EFF;18000700;8;24;82;0;3A;0;0;0;1A
25365;EFF;18000800;5;1E;41;C8;CC;CD;;;
25419;EFF;1800000A;5;1E;41;52;D4;D9;;;
25419;EFF;1800010A;5;1E;41;49;AE;26;;;
25419;EFF;1800020A;5;1E;3B;B0;58;2C;;;
25419;EFF;1800030A;5;1E;BB;41;A0;0;;;
25420;EFF;1800040A;5;1E;41;C6;7E;C0;;;
25420;EFF;1800050A;5;1E;41;C6;7E;C0;;;
25422;EFF;1800060A;1;3D;;;;;;;
25422;EFF;1800070A;5;1E;37;0;5D;AC;;;
25423;EFF;1800080A;5;1E;37;35;78;53;;;
25423;EFF;1800090A;5;1E;37;0;5D;AC;;;
25423;EFF;18000A0A;5;1E;37;35;78;53;;;
25423;EFF;1800640A;5;1E;3D;4C;CC;CD;;;
25423;EFF;1800650A;5;1E;42;5C;0;0;;;
25424;EFF;1800660A;5;2;0;0;0;3C;;;
25424;EFF;1800670A;5;1E;40;A0;0;0;;;
25425;EFF;1800680A;5;1E;3F;80;0;0;;;
25425;EFF;1800690A;5;2;0;0;0D;6B;;;
25431;EFF;18000900;5;1E;42;92;F8;3C;;;
25965;EFF;18000000;8;24;82;0;1A;0;0;33;8A
25965;EFF;18000100;8;24;82;0;1A;0;0;32;F7
